Name of Job Posting,NOC Code,Link of Job Information
Agricultural Technician,22114,https://www.jobbank.gc.ca/marketreport/summary-occupation/18120/ca
Aquaculture Operator,82030,https://www.jobbank.gc.ca/marketreport/summary-occupation/24425/ca
Biologist,21110,https://www.jobbank.gc.ca/marketreport/summary-occupation/227607/ca
Agricultural Engineer,21330,https://www.jobbank.gc.ca/marketreport/summary-occupation/22437/ca
Food Scientist,21120,https://www.jobbank.gc.ca/marketreport/summary-occupation/227617/ca
Biochemist,21110,https://www.jobbank.gc.ca/marketreport/summary-occupation/227607/ca
Farm Supervisor,82010,https://www.jobbank.gc.ca/marketreport/summary-occupation/24423/ca
Environmental Technician,22111,https://www.jobbank.gc.ca/marketreport/summary-occupation/18117/ca
Agronomist,21110,https://www.jobbank.gc.ca/marketreport/summary-occupation/227607/ca
Biotechnologist,21110,https://www.jobbank.gc.ca/marketreport/summary-occupation/227607/ca
