Name of Job Posting,NOC Code,Link of Job Information
Data Scientist,21211,https://www.jobbank.gc.ca/marketreport/summary-occupation/227607/ca
Artificial Intelligence Specialist,21211,https://www.jobbank.gc.ca/marketreport/summary-occupation/227607/ca
Data Analyst,21211,https://www.jobbank.gc.ca/marketreport/summary-occupation/227607/ca
Machine Learning Engineer,21233,https://www.jobbank.gc.ca/marketreport/summary-occupation/227629/ca
Business Intelligence Analyst,21211,https://www.jobbank.gc.ca/marketreport/summary-occupation/227607/ca
Big Data Engineer,21233,https://www.jobbank.gc.ca/marketreport/summary-occupation/227629/ca
Data Architect,21223,https://www.jobbank.gc.ca/marketreport/summary-occupation/227619/ca
Cloud Computing Specialist,21220,https://www.jobbank.gc.ca/marketreport/summary-occupation/227616/ca
Information Systems Analyst,21222,https://www.jobbank.gc.ca/marketreport/summary-occupation/227618/ca
Database Administrator,21223,https://www.jobbank.gc.ca/marketreport/summary-occupation/227619/ca
