Name of Job Posting,NOC Code,Link of Job Information
Tourism Information Officer,64409,https://www.jobbank.gc.ca/marketreport/summary-occupation/5167/ON
Workforce Development Officer,41321,https://www.jobbank.gc.ca/marketreport/summary-occupation/5167/ON
Tourism Marketing Specialist,11103,https://www.jobbank.gc.ca/marketreport/summary-occupation/227600/ca
Event Planner,12011,https://www.jobbank.gc.ca/marketreport/summary-occupation/17896/ca
Tour Guide,64410,https://www.jobbank.gc.ca/marketreport/summary-occupation/5699/ca
Cultural Program Coordinator,51114,https://www.jobbank.gc.ca/marketreport/summary-occupation/17896/ca
Hotel Manager,60031,https://www.jobbank.gc.ca/marketreport/summary-occupation/24209/ca
Travel Consultant,64410,https://www.jobbank.gc.ca/marketreport/summary-occupation/5699/ca
Museum Technician,51102,https://www.jobbank.gc.ca/marketreport/summary-occupation/26077/ca
Investment Attraction Specialist,11103,https://www.jobbank.gc.ca/marketreport/summary-occupation/227600/ca
